ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
45,B,,,,F,,,,,,,,,,,h,,,,,,,P,I,,,,apple_live_listen,Apple,Live Listen,"You can stream sound from the microphone on iPhone to your Made for iPhone (MFi) hearing devices or AirPods. Streaming sound can help you hear better in some situations—for example, when having a conversation in a noisy environment.",https://support.apple.com/guide/iphone/use-live-listen-iph8bf9386f5/17.0/ios/17.0,"https://www.youtube.com/watch?v=2PIY0RWJOUI&pp=ygURYXBwbGUgbGl2ZSBsaXN0ZW4%3D
https://www.youtube.com/watch?v=zg5zr9vQXmo&pp=ygURYXBwbGUgbGl2ZSBzcGVlY2g%3D",,,"need to use it with apple audio devices (e.g., AirPods or beats)","feature description is not a clear explainer; talks in 2nd person. 
youtube video - entire playlist of accessibility features, not specific"
46,B,,,,F,,,,,,,,,,,,,S,,,M,,P,I,,,,apple_live_speech,Apple,Live Speech,"With Live Speech on iPhone, you can type and have your words spoken in person, on Phone and FaceTime calls, and in assistive communication apps using any of dozens of voices, including your Personal Voice. (Available in select languages.)",https://support.apple.com/guide/iphone/type-to-speak-iphcf92d2d9b/17.0/ios/17.0,"https://www.youtube.com/watch?v=G7dd7kaGjIE&pp=ygURYXBwbGUgbGl2ZSBzcGVlY2g%3D
https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu",,,,"https://youtu.be/owBzKbpiNjE?feature=shared
------
1. Description could be clearer. Suggestions: With Live Speech on iPhone, iPad, or Mac, you can type and have your words spoken out loud, on phone calls and FaceTime. You can use it in supported assistive communication apps using any of dozens of voices, or customized personal Voice (Available in select languages). You can also add or remove favorite phrases, to create a list of phrases that you use often so you can chime in quickly in a conversation."
47,B,,,,F,,,,,R,,,C,,,,P,,,,,,P,I,,,iOS 15 or later,apple_livetext,Apple,Live Text,"Use your iPhone camera to copy, share, look up, and translate text that appears within the camera frame. Camera also provides quick actions to easily call phone numbers, visit websites, convert currencies, and more, based on the text that appears in the frame.",https://support.apple.com/guide/iphone/use-live-text-iphcf0b71b0e/ios,"https://www.youtube.com/watch?v=_wAjFVjZSVg
https://www.youtube.com/watch?v=1esEVI_vtpI&pp=ygURYXBwbGUgbGl2ZSBzcGVlY2g%3D",,,,
48,B,,,,F,,,,,,,,,V,,,,,,,,,P,I,,,iOS 12 and later,apple_magnifier,Apple,Magnifier,"The Magnifier app is already installed on your iPhone or iPad. With the app, you can use your device as a magnifying glass to zoom in on objects near you. You can also use the app make objects, text, computers, or people easier to see by applying a color filter, changing the contrast level, or turning on the flashlight. You can also freeze the image, or take a picture of something, and then apply any of these features.",https://support.apple.com/guide/iphone/magnify-nearby-objects-iphe867dc99c/17.0/ios/17.0,"https://www.youtube.com/watch?v=R3rBlZGEssw&pp=ygUPYXBwbGUgbWFnbmlmaWVy0gcJCQMKAYcqIYzv
https://www.youtube.com/watch?v=7cwohyq9-Ts&t=46s&pp=ygUPYXBwbGUgbWFnbmlmaWVy",,,,"1. Magnifier app is pre-installed, but it's still an installed app, not system built-in.
4. Link is a playlist. Here is the suggested video: https://www.youtube.com/watch?v=RvlR3Nz8jN0"
49,B,,,,F,,,,,,,,,,,h,,,,,M,,P,I,,,,apple_pair_hearing_devices,Apple,MFi Hearing Devices,You can use MFi hearing aids or sound processors with iPhone and adjust their settings. See the Apple Support article Made for iPhone compatible hearing devices for a list of models that work well with iPhone.,https://support.apple.com/guide/iphone/use-hearing-devices-iph470b1833/17.0/ios/17.0,https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu,,,,"feature description is not a clear explainer; talks in 2nd person. 
youtube video - entire playlist of accessibility features, not specific"
50,B,,,,F,,,,,,,,,,,H,,,,,M,,P,I,,,"iOS 15 & up
macOS Sierra or later",apple_mono_audio,Apple,Mono Audio,"Mono Audio consolidates the sound channels into one channel, ensuring that all sounds are heard in both ears, which is especially useful for users with hearing loss in one ear. This feature helps to ensure that no part of the audio is lost or diminished, enhancing the audio experience for those who require it.",https://support.apple.com/guide/iphone/adjust-audio-settings-iphb80ab7516/ios,https://www.youtube.com/watch?v=TZN3mjkfMdE,,,,"- In description, remove ""for those who require it.""
- Make it more clear in the description that this feature requires headphones"
51,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,iOS 18 & iPhone 12 and up excluding iPhone SE (3rd gen),apple_musichaptics,Apple,Music Haptics,"Music Haptics is a new way for users who are deaf or hard of hearing to experience music on iPhone. With this accessibility feature turned on, the Taptic Engine in iPhone plays taps, textures, and refined vibrations to the audio of the music. Music Haptics works across millions of songs in the Apple Music catalog, and will be available as an API for developers to make music more accessible in their apps.",https://music.apple.com/us/multi-room/6670447147,https://www.youtube.com/watch?v=-ppsqh_BeX8,,,,
52,B,,,,F,,,,,,,,,,,,p,,,,,,P,i,,,,apple_onehandedkeyboard,Apple,One--Handed Keyboard,"On iPhone and iPad, one-hand keyboard is a feature that helps people who can only use one hand to type. It adjusts the keyboard on the screen, making it smaller and moving it to the left or right side so you can easily reach all the keys with one thumb. This feature can be helpful for users with physical disabilities or anyone temporarily unable to use both hands. ",https://support.apple.com/guide/iphone/use-reachability-iph145eba8e9/ios,https://www.youtube.com/watch?v=qVeWzDyIzfo&pp=ygUXYXBwbGUgb25lIGhhbmQga2V5Ym9hcmQ%3D,,,,
53,B,,,,F,,,,,R,W,E,C,V,B,H,P,S,,,,,P,I,,,iOS 15 or later,apple_perappsettings,Apple,Per App Settings,"Per App settings help you customize accessibility settings for each app so they can be flexibly helpful when you need them. For instance, if you want to adjust display and text size on your ""Messages"" app, you can add ""Messages"", and customize the accessibility features for it and only affect this app but not others. Depending on what the app supports, the adjustable settings will be different. In general, you can adjust many visual accessibility features, such as text display, contrast, dark mode, or more.",https://support.apple.com/guide/iphone/customize-per-app-visual-settings-iph1f48544ab/ios,https://www.youtube.com/watch?v=0pRgtaIP3Ic,,,,"The description should not lead with "" This accessibility setting"", replace it with the feature name.  ✔"
54,B,,,,F,,,,,,,,,,,,,S,,,M,,P,I,,,"iOS 17 or later, macOS Sonoma or later on Mac with Apple Silicon",apple_personal_voice,Apple,Personal Voice,"With Personal Voice, you can create a synthesized voice that sounds like your own to communicate with family and friends. You can use your Personal Voice to type to speak in FaceTime and phone calls, assistive communication apps, and in-person conversations.",https://support.apple.com/en-us/104993,https://www.youtube.com/watch?v=cRXswd7yaRk&pp=ygUUYXBwbGUgcGVyc29uYWwgdm9pY2U%3D,,,,
55,B,,,,F,,,,,R,,,C,V,,,,,,,M,,P,I,,,,apple_pointandspeak,Apple,Point and Speak,"With the Point and Speak feature, located in the Magnifier app, you can use your finger to point to any text or labels on a device or in your environment and have your device read it out loud.",https://support.apple.com/guide/iphone/read-aloud-text-and-labels-around-you-iph29dbe3fb6/17.0/ios/17.0,https://www.youtube.com/watch?v=nJPt34n3aAM&pp=ygUVcG9pbnQgYW5kIHNwZWFrIGFwcGxl,,,,"1. Add the versions that the feature works on. It seems like it only works on IOS 17 and 18 and it can only be used on supported models (on website)
2. Youtube video is a link to playlist, so try to find one video that gives an in-depth tutorial 
3. Check off Reading 
4. In description, get rid of ""with"" at the beginning and then instead of ""you can use"" replace with ""allowing users to point with their finger"" - correct the rest based on changes"
56,B,,,,F,,,,,,,,,,,,P,,,,M,,P,,,,,apple_pointercontrol,Apple,Pointer Control,"On your Mac or iPad, use Pointer Control settings to make your mouse and trackpad easier to use, turn on Mouse Keys, perform certain mouse actions using keyboard shortcuts, assistive switches, or facial expressions, or to move the pointer using head pointer. The options available depend on the Mac you’re using.",https://support.apple.com/guide/mac-help/change-pointer-control-settings-accessibility-unac899/14.0/mac/14.5,https://www.youtube.com/watch?v=uctoG-yynZ8&pp=ygUVYXBwbGUgcG9pbnRlciBjb250cm9s,,,,This seems to be entered twice but I don't see Ipad specific description or tutorial
57,B,,,,F,,,,,R,,,,V,,,,,,,M,,P,I,,,macOS 14 or later,apple_prefer_horizontal_text,Apple,Prefer Horizontal Text,Prefer text to be shown horizontally for languages that support vertical text.,https://support.apple.com/guide/mac-help/change-display-settings-for-accessibility-unac089/15.0/mac/15.0,https://youtu.be/hmwajQSSE9I,,,"No info about iOS avaliability can be found, but does appear in iOS 18 and iOS 17","- make the beginning part of the description, something like ""The horizontal text festure allows text to be....""
- see if there is a similar feature for iOS"
58,B,,,,F,,,,,,,,C,,,,,,,,M,,P,I,,,"macOS 15 or later, iOS 18 or later",apple_non_blinking_cursor,Apple,Prefer Non-Blinking Cursor,Set the cursor indicator in text to be non-blinking across the system.,https://support.apple.com/guide/mac-help/change-display-settings-for-accessibility-unac089/15.0/mac/15.0,https://youtube.com/shorts/7Xs_Op4C7uo,,,,Add a bit more to the description. Possibly talk about how/who it can benefit.
59,B,,,,F,,,,,,,,,,,,P,,,,,,,I,,,iOS 15 or later,apple_reachability,Apple,Reachability,"When you use iPhone with one hand in portrait orientation, you can use Reachability to lower the top half of the screen so it’s within easy reach of your thumb.",https://support.apple.com/guide/iphone/use-reachability-iph145eba8e9/ios,https://www.youtube.com/watch?v=-bawpMvdXk8,,,,Description should start with the name of the feature.
60,B,,,,F,,,,,,,,C,V,,,,,,,M,,P,I,,,"macOS High Sierra
",apple_reduce_motion_mac,Apple,Reduce Motion,Your device uses motion effects to create the perception of depth on your Home screen and within apps.,https://support.apple.com/en-mz/guide/mac-help/mchlc03f57a1/mac,"https://www.youtube.com/watch?v=rF5MGQzowQE&pp=ygUXYXBwbGUgcmVkdWNlIG1vdGlvbiBtYWPSBwkJAwoBhyohjO8%3D
https://www.youtube.com/watch?v=b_YJRAOEcFc&pp=ygUXYXBwbGUgcmVkdWNlIG1vdGlvbiBtYWM%3D",,,,Can't seem to verify the IOS versions
61,B,,,,F,,,,,,,,C,V,,,,,,,,,P,I,,,,apple_reduce_onscreen_motion_ios,Apple,Reduce Onscreen Motion," If you have sensitivity to motion effects or screen movement on your iPhone, iPad, or iPod touch, you can use this feature to stop or reduce the movement of some screen elements, such as: Parallax effect of wallpaper, apps, and alerts, Screen transitions, Siri animations, Typing autocompletion, Animated full-screen and bubble effects in the Messages app, & Animated images on the Web and in apps",https://support.apple.com/guide/iphone/reduce-onscreen-motion-iph0b691d3ed/17.0/ios/17.0,https://www.youtube.com/watch?v=rEIFvN3WRGk&ab_channel=TrevorNace,,,,"The link used links to a playlist, I included the correct video link from the playlist. https://youtu.be/8Ddva5UUX2U?feature=shared I think this tool might fit into physical as well as it reduces eye strain and motion sickness in some."
62,B,,,,F,,,,,,,,,V,,,,,,,,,P,I,,,iOS 12 or later,apple_reduce_transparency_ios,Apple,Reduce Transparency -iOS,"Some interface elements,  appear transparent by default. You can turn these transparent elements opaque by giving them a solid color. In this way you simplify those parts of your screen and make them easier to see.",https://support.apple.com/guide/iphone/change-display-colors-iph3e2e1fb0/ios,"https://www.youtube.com/watch?v=r8Uosg0F1Q4&pp=ygUWYXBwbGUgVFJBTlNQQVJFTkNZIG1hYw%3D%3D
https://www.youtube.com/shorts/Spn8X6aJ-z4",,,,Description should start with the name of the feature.
63,B,,,,F,,,,,,,,,V,,,,,,,M,,,,,,macOS 10.15 or later ,apple_reduce_transparency_mac,Apple,Reduce Transparency -Mac,"Some interface elements, such as the Dock and menu bar, appear transparent by default. You can turn these transparent elements opaque by giving them a solid color. In this way you simplify those parts of your screen and make them easier to see.",https://support.apple.com/guide/mac-help/change-display-colors-easier-onscreen-mchl11ddd4b3/mac,https://youtu.be/wdD_uyvGwZw,,,,Description should start with the name of the feature.
64,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,"iOS 12 and later, iPadOS 13 and later, macOS Mojave (10.14) and later",apple_reduce_white_point,Apple,Reduce White Point,Reduce White Point limits the brightness of colors on the display of an iOS device for a person with certain types of vision limitations. The lower contrast of colors can assist those who experience glare as a barrier.,https://support.apple.com/en-my/guide/iphone/iph3e2e1fb0/ios,https://youtu.be/psnbaanguKo?si=Xe7ZvmQgC_P3s07L,,,,"1. Macintosh doesn't offer reduce white point function, the link is to Apple TV. Here is the link to iPhone: https://support.apple.com/en-my/guide/iphone/iph3e2e1fb0/ios 
2. The requirements are hard to gather, the above link says iOS 12 and later, but this https://support.apple.com/en-us/111773 has other information"
65,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,iOS 12 and later,apple_refine_display_colors,Apple,Refine the display colors,"To make it easier to see what’s on your iPhone screen, you can invert and filter colors or make transparent items solid.",https://support.apple.com/guide/iphone/change-color-and-brightness-iph3e2e1fb0/17.0/ios/17.0,"https://www.youtube.com/shorts/OLbbeG_B-60
https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu",,,,The video link is a playlist. Beginning of the description can be rewritten.
66,B,,,,F,,,,,,,,,,,H,,S,,,M,,P,I,,,"iOS 12 & up
macOS Mojave or later",apple_rtt_tty,Apple,RTT/TTY,"RTT/TTY allows individuals who are deaf, hard of hearing, or cannot speak or speak clearly to use text to communicate in real-time during phone calls. This feature works by sending text immediately as it is typed, without needing to press 'Send'. This can be particularly useful for conveying nuances such as laughter, interruption, or pauses in conversation.   (Use on Macintosh is done using phone to actually make the call) ",https://support.apple.com/guide/iphone/set-up-and-use-rtt-and-tty-iph3e2e47fe/18.0/ios/18.0,https://www.youtube.com/watch?v=ATjh3IGZ8yg,,,,"- In description, get rid of ""individuals who are deaf or hard of hearing"", and replace with users"
